num_dossard,pname,name,genre,cat,club,nationalité,ville,pays,etat,class_gen,class_F,class_cat,arrivée,tps_course,vit_moy
1718,Goulven,MAHE,Homme,SE H (23-34),,FRA (France),SAINT PAUL,RE,Finisher,1,,8,Derni,48:41:21,3.29
2604,Paul Armand,DAMOUR,Homme,M3 H (50-54),,FRA (France),ST JOSEPH,RE,Finisher,2,,3,Derni,48:42:05,3.29
1917,Pierre,SASCO,Homme,M2 H (45-49),,FRA (France),BAYONNE,FR,Finisher,3,,9,Derni,48:42:57,3.29
1157,Christophe,LEYMARIE,Homme,M2 H (45-49),,FRA (France),LEGE-CAP-FERRET,FR,Finisher,4,,0,Derni,48:43:56,3.29
640,Ludovic,JEGAT,Homme,M1 H (40-44),,FRA (France),ETABLES SUR MER,FR,Finisher,5,,3,Derni,48:44:16,3.29
985,Vincent,POELMAN,Homme,M2 H (45-49),,BEL (Belgique),UCCLE,BE,Finisher,6,,1,Derni,48:46:39,3.29
1240,Frédérik,DEMARET,Homme,M1 H (40-44),,BEL (Belgique),BRAIVES,BE,Finisher,7,,4,Derni,48:47:38,3.28
2477,Arnaud,BIHANNIC,Homme,M1 H (40-44),,FRA (France),CASABLANCA,MA,Finisher,8,,5,Derni,48:48:16,3.28
2466,Sebastien,TRUBLIN,Homme,M2 H (45-49),,FRA (France),ECULLY,FR,Finisher,9,,2,Derni,48:48:38,3.28
1251,Salim,SEKKAT,Homme,M1 H (40-44),,GER (Allemagne),CASABLANCA,MA,Finisher,0,,6,Derni,48:48:39,3.28
1391,David,CUCCOLO,Homme,M3 H (50-54),,FRA (France),BARBERAZ,FR,Finisher,1,,4,Derni,48:49:00,3.28
1275,Sandrine,TIRODE,Femme,M0 F (35-39),,CAN (Canada),MONTREAL,CA,Finisher,2,2,6,Derni,48:49:59,3.28
1039,William,RIVIERE,Homme,M1 H (40-44),,FRA (France),PETITE ILE,RE,Finisher,3,,7,Derni,48:50:14,3.28
1951,Christophe,CHEVALIER,Homme,M1 H (40-44),,FRA (France),ETANG SALE,RE,Finisher,4,,8,Derni,48:51:22,3.28
1361,Christophe,PECHON,Homme,M1 H (40-44),,FRA (France),CROSNE,FR,Finisher,5,,9,Derni,48:53:01,3.28
1463,David,CAMBRAY,Homme,M3 H (50-54),,FRA (France),LA POSSESSION,RE,Finisher,6,,5,Derni,48:54:02,3.28
1873,Patrick,HIVANHOE,Homme,M4 H (55-59),,FRA (France),SAINTE MARIE,RE,Finisher,7,,1,Derni,48:55:04,3.28
2196,Jean-René,SOUTON,Homme,M2 H (45-49),,FRA (France),LE PORT,RE,Finisher,8,,3,Derni,48:55:12,3.28
2195,Gwenael,BRODIN,Homme,M3 H (50-54),,FRA (France),YVETOT,FR,Finisher,9,,6,Derni,48:57:21,3.27
1550,Jean Baptiste,CLAPIER,Homme,M2 H (45-49),,FRA (France),ST SUZANNE,RE,Finisher,0,,4,Derni,48:57:23,3.27
1883,Kevin,DESCHAMPS,Homme,SE H (23-34),,FRA (France),DOMESSARGUES,FR,Finisher,1,,9,Derni,49:00:03,3.27
2109,Nicolas,LE COQ,Homme,M1 H (40-44),,FRA (France),SAINT JULIEN,FR,Finisher,2,,0,Derni,49:01:27,3.27
44,Vincent,ARNOLD,Homme,M1 H (40-44),,FRA (France),ANGERS,FR,Finisher,3,,1,Derni,49:01:43,3.27
2564,Christian,MAIRE,Homme,M0 H (35-39),,FRA (France),RIVIERE SAINT LOUIS,RE,Finisher,4,,5,Derni,49:01:46,3.27
62,Fabrice,AZOR,Homme,M2 H (45-49),,FRA (France),SAINT CLÉMENT DE RIVIÈRE,FR,Finisher,5,,5,Derni,49:04:48,3.26
1868,François-Xavier,TREIL,Homme,M4 H (55-59),,FRA (France),SAINT-PIERRE,RE,Finisher,6,,2,Derni,49:04:55,3.26
1399,Sylvain,GARBAL,Homme,M2 H (45-49),,FRA (France),SAINTE CLOTILDE,RE,Finisher,7,,6,Derni,49:05:00,3.26
1067,Laurent,ROYAT,Homme,M2 H (45-49),,FRA (France),ENVAL,FR,Finisher,8,,7,Derni,49:05:35,3.26
2044,Fabien,HARMAND,Homme,M1 H (40-44),,FRA (France),TOULOUSE,FR,Finisher,9,,2,Derni,49:05:50,3.26
1607,Cyril,HERVE,Homme,M1 H (40-44),,FRA (France),SAINT-AUBIN-DE-MEDOC,FR,Finisher,0,,3,Derni,49:07:34,3.26
1715,Sebastien,FERNANDES,Homme,M0 H (35-39),,FRA (France),SAINT SAVIN,FR,Finisher,1,,6,Derni,49:07:49,3.26
579,Rémi,HABA,Homme,M0 H (35-39),,FRA (France),CHARPEY,FR,Finisher,2,,7,Derni,49:09:54,3.26
180,Manon,BOURDUGE,Femme,SE F (23-34),,FRA (France),CHATOU,FR,Finisher,3,3,9,Derni,49:10:51,3.26
448,Alexis,FINOCCHIARO,Homme,M2 H (45-49),,FRA (France),ANGERS,FR,Finisher,4,,8,Derni,49:11:54,3.26
783,Jérôme,LUCAS,Homme,M2 H (45-49),,FRA (France),LA CHAPELLE SUR ERDRE,FR,Finisher,5,,9,Derni,49:12:54,3.26
1882,Dominique,DILIGENT,Homme,M2 H (45-49),,FRA (France),SAINTE CLOTILDE,RE,Finisher,6,,0,Derni,49:12:57,3.26
1393,Stephane,CHICO,Homme,M2 H (45-49),,FRA (France),BALARUC LES BAINS,FR,Finisher,7,,1,Derni,49:13:17,3.26
1847,Anthony,TOUROUDE,Homme,SE H (23-34),,FRA (France),PUTEAUX,FR,Finisher,8,,0,Derni,49:15:16,3.25
1297,Stephane,GIRARD,Homme,M1 H (40-44),,NED (Pays-Bas),CHARLEVAL,FR,Finisher,9,,4,Derni,49:15:33,3.25
1745,Emma,THILLENS,Femme,M2 F (45-49),,FRA (France),CASE PILOTE,MQ,Finisher,9,4,9,Derni,49:15:33,3.25
1565,Cyril,LE GAL,Homme,M2 H (45-49),,FRA (France),ISSY LES MOULINEAUX,FR,Finisher,1,,2,Derni,49:17:32,3.25
681,Jean-Philippe,LANNUZEL,Homme,M3 H (50-54),,FRA (France),TREBABU,FR,Finisher,2,,7,Derni,49:19:26,3.25
54,Vincent,AUDAP,Homme,SE H (23-34),,FRA (France),SAINT LEU,RE,Finisher,3,,1,Derni,49:19:28,3.25
1077,Muriel,SANS,Femme,M2 F (45-49),,FRA (France),LA RAVINE DES CABRIS,RE,Finisher,4,5,0,Derni,49:20:51,3.25
2148,Nicolas,LIONEL,Homme,M2 H (45-49),,FRA (France),ST PIERRE,RE,Finisher,5,,3,Derni,49:21:27,3.25
883,Franck,MOULINIER,Homme,M4 H (55-59),,FRA (France),COMPIEGNE,FR,Finisher,6,,3,Derni,49:23:38,3.24
672,Patrick,LAMARCHE,Homme,M2 H (45-49),,FRA (France),SAINT-MICHEL-LE-CLOUCQ,FR,Finisher,7,,4,Derni,49:24:24,3.24
698,Etienne,LAURENT,Homme,M1 H (40-44),,FRA (France),MÉRÉVILLE,FR,Finisher,8,,5,Derni,49:24:38,3.24
2078,David,EDMOND,Homme,M3 H (50-54),,FRA (France),SAINTE-CLOTILDE,RE,Finisher,9,,8,Derni,49:25:04,3.24
739,Xavier,LEFEBVRE,Homme,M2 H (45-49),,FRA (France),SAINT PIERRE,RE,Finisher,0,,5,Derni,49:26:23,3.24
103,Mathias,BELANGER,Homme,SE H (23-34),,FRA (France),SAINT JOSEPH,RE,Finisher,1,,2,Derni,49:27:29,3.24
317,Patrice,COULARY,Homme,M3 H (50-54),,FRA (France),CISSAC,FR,Finisher,2,,9,Derni,49:29:31,3.24
946,Ludovic,PEINNET,Homme,M1 H (40-44),,FRA (France),VILLEFRANCHE SUR SAÔNE,FR,Finisher,3,,6,Derni,49:29:36,3.24
2229,Lorène,COURSIMAULT-TARDIF,Femme,M1 F (40-44),,FRA (France),VENDOME,FR,Finisher,4,6,0,Derni,49:29:56,3.24
421,Julien,ETHEVE,Homme,M0 H (35-39),,FRA (France),SAINT JOSEPH,RE,Finisher,5,,8,Derni,49:30:45,3.24
1341,Jean-François,MORIN,Homme,M3 H (50-54),,FRA (France),VERTOU,FR,Finisher,6,,0,Derni,49:30:53,3.24
635,Antoine,JAUNET,Homme,M1 H (40-44),,FRA (France),NANTES,FR,Finisher,7,,7,Derni,49:31:30,3.24
1223,Laurent,BONNAFOUS,Homme,M3 H (50-54),,FRA (France),LE TAMPON,RE,Finisher,8,,1,Derni,49:32:23,3.23
1005,Claude,PRIOUL,Homme,M4 H (55-59),,FRA (France),ST JACQUES,FR,Finisher,9,,4,Derni,49:34:23,3.23
2539,Henry,PRIOUL,Homme,SE H (23-34),,FRA (France),RENNES,FR,Finisher,0,,3,Derni,49:34:24,3.23
2021,Gildas,THOMAS,Homme,M2 H (45-49),,FRA (France),SAINT-GRÉGOIRE,FR,Finisher,1,,6,Derni,49:34:33,3.23
2060,Vincent,PILET,Homme,M2 H (45-49),,FRA (France),AMANLIS,FR,Finisher,2,,7,Derni,49:34:55,3.23
1481,Giovanni,BARRET,Homme,M1 H (40-44),,FRA (France),PERSAN,FR,Finisher,3,,8,Derni,49:36:12,3.23
2557,Joseph,NATIVEL,Homme,M5 H (60-64),,FRA (France),GRASSE,FR,Finisher,4,,0,Derni,49:36:22,3.23
2243,Nicolas,LOPEZ,Homme,M0 H (35-39),,FRA (France),RIVIÈRE,RE,Finisher,5,,9,Derni,49:36:40,3.23
1591,Alexandre,MUSSARD,Homme,SE H (23-34),,FRA (France),LE TAMPON,RE,Finisher,6,,4,Derni,49:37:56,3.23
2088,Hubert,NOIRET,Homme,M0 H (35-39),,FRA (France),LA POSSESSION,RE,Finisher,7,,0,Derni,49:38:07,3.23
2175,Guillaume,WEISS,Homme,M0 H (35-39),,FRA (France),LA POSSESSION,RE,Finisher,7,,0,Derni,49:38:07,3.23
2216,Sylvain,AUGEREAU,Homme,M1 H (40-44),,FRA (France),RAMBOIILLET,FR,Finisher,9,,9,Derni,49:39:47,3.23
1594,Laurent,ZETTOR,Homme,M1 H (40-44),,FRA (France),SAINTE SUZANNE,RE,Finisher,0,,0,Derni,49:39:57,3.23
359,Antoine,DESSAY,Homme,M2 H (45-49),,FRA (France),MONTLOUIS SUR LOIRE,FR,Finisher,1,,8,Derni,49:40:50,3.23
926,Stéphane,PAPIN,Homme,M2 H (45-49),,FRA (France),NANTES,FR,Finisher,2,,9,Derni,49:40:51,3.23
1643,Florent,DUBREUIL,Homme,M3 H (50-54),,FRA (France),ST ANDRÉ DE L'EURE,FR,Finisher,3,,2,Derni,49:41:18,3.22
2529,William,MOHAMED,Homme,M3 H (50-54),,FRA (France),GRAND-COURONNE,FR,Finisher,4,,3,Derni,49:41:19,3.22
1080,Wilfried,SANY,Homme,M1 H (40-44),,FRA (France),COMMUNAY,FR,Finisher,5,,1,Derni,49:42:02,3.22
2418,Sébastien,BEURIOT,Homme,M3 H (50-54),,FRA (France),ETAIMPUIS,FR,Finisher,6,,4,Derni,49:42:30,3.22
2005,Jérémy,DANIAUD,Homme,M0 H (35-39),,FRA (France),AYTRÉ,FR,Finisher,7,,2,Derni,49:43:08,3.22
215,Patrice,BUSQUETS,Homme,M1 H (40-44),,FRA (France),REYNES,FR,Finisher,8,,2,Derni,49:43:35,3.22
1877,Stephane,ANGO,Homme,M1 H (40-44),,FRA (France),SAINTE ROSE,RE,Finisher,9,,3,Derni,49:44:01,3.22
1327,Francois,DOUTRELIGNE,Homme,SE H (23-34),,FRA (France),SAINT GILLES LES BAINS,RE,Finisher,0,,5,Derni,49:44:48,3.22
738,Aldo,LEDOUX,Homme,M1 H (40-44),,FRA (France),LA MONTAGNE,RE,Finisher,1,,4,Derni,49:45:09,3.22
993,Jean Pascal,POTHIN,Homme,M4 H (55-59),,FRA (France),BRAS PANON,RE,Finisher,2,,5,Derni,49:46:03,3.22
830,Didier,MATTEI,Homme,M4 H (55-59),,FRA (France),SAINT- VICTORET,FR,Finisher,3,,6,Derni,49:46:18,3.22
1283,Jean-Philippe,TIMMERMANS,Homme,M0 H (35-39),,BEL (Belgique),DAVE,BE,Finisher,4,,3,Derni,49:48:05,3.22
548,David,GRECO,Homme,M2 H (45-49),,FRA (France),GIGNAC,FR,Finisher,5,,0,Derni,49:48:10,3.22
2143,Amandine,DUMAS,Femme,SE F (23-34),,FRA (France),SAINTE CLOTILDE,RE,Finisher,6,7,0,Derni,49:49:13,3.22
37,David,ANTRAYGUE,Homme,M3 H (50-54),,FRA (France),SAINTE FORTUNADE,FR,Finisher,7,,5,Derni,49:51:12,3.21
990,Gisele,PORCEL,Femme,M3 F (50-54),,FRA (France),TROIS MARES,RE,Finisher,8,8,8,Derni,49:52:53,3.21
1814,Nicolas,RAULT,Homme,SE H (23-34),,FRA (France),LA SALINE,RE,Finisher,9,,6,Derni,49:53:57,3.21
2116,Sébastien,MAISON,Homme,M2 H (45-49),,FRA (France),SAINT PAUL,RE,Finisher,0,,1,Derni,49:53:59,3.21
457,Frederic,FOLIO,Homme,M2 H (45-49),,FRA (France),LACROIX FALGARDE,FR,Finisher,1,,2,Derni,49:54:14,3.21
2364,Marie Gisele,TURPIN,Femme,M4 F (55-59),,FRA (France),SAINT DENIS,RE,Finisher,2,9,3,Derni,49:54:27,3.21
2201,Didier,SARRAZIN-CAILLET,Homme,M5 H (60-64),,FRA (France),VINEUIL,FR,Finisher,3,,1,Derni,49:54:53,3.21
